"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00006987" "MATCH" "1" "zmp-1" "Caenorhabditis elegans" "EGAP1.3" "WBGene00006987" "Gene" "zmp-1 encodes a zinc matrix metalloproteinase that enables anchor cell (AC) invasion during postembryonic vulval development; ZMP-1's proteinase activity has been confirmed in vitro; N-terminus to C-terminus, ZMP-1 is predicted to have a signal sequence, peptidoglycan-binding domain, a central matrix protease domain, a coiled-coil domain, and four hemopexin domains; ZMP-1 is expressed in AC during larval development, vulD and vulE in larvae and adults, and vulA in young adults onward; ZMP-1 is expressed in AC at the time it invades the basement membrane (L3 larval stage), and is localized to puncta often concentrated at the invasive basolateral membrane; ZMP-1::GFP diffuses from AC to utse cytoplasm upon fusion of these cells; ZMP-1 expression in AC requires EGL-43 (perhaps directly), and FOS-1A (indirectly); transcription of zmp-1 in AC, vulA, and vulE is driven by physically distinct sites in the zmp-1 5' flanking sequence; other regulators of ZMP-1 expression in other cell types include COG-1, EGL-38, LIN-11, LIN-29, and NHR-67; zmp-1(cg115) and zmp-1(RNAi) animals have no grossly obvious phenotypes, but null zmp-1(cg115) mutations enhance a subtle defect of AC invasion seen with null cdh-3(pk87) or him-4(rh319) mutations."
"WBGene00008802" "MATCH" "1" "acp-2" "Caenorhabditis elegans" "F14E5.4" "WBGene00008802" "Gene" ""
"WBGene00002026" "MATCH" "1" "hsp-70" "Caenorhabditis elegans" "C12C8.1" "WBGene00002026" "Gene" "hsp-70 encodes a heat-shock protein that is a member of the hsp70 family of molecular chaperones."
"WBGene00004205" "MATCH" "1" "psr-1" "Caenorhabditis elegans" "F29B9.4" "WBGene00004205" "Gene" "psr-1 encodes an ortholog of the mammalian apoptotic phosphatidylserine receptor, whose product recognizes phosphatidylserine on apoptotic cells and enables cells expressing the receptor to recognize and engulf apoptotic cells in a phosphatidylserine-specific manner; psr-1 was not mutated in classical screens for Ced mutants, but nevertheless is critical for cell corpse engulfment in C. elegans, acting in the ced-2/ced-5/ced-10/ced-12 pathway to mediate phagocytosis of apoptotic cells; in yeast two-hybrid and GST pull-down assays, the PSR-1 intracellular domain physically interacts with CED-5 and CED-12; in vitro assays indicate that PSR-1 preferentially binds phosphatidylserine and phosphatidylserine-expressing cells."
"WBGene00008801" "MATCH" "1" "acp-3" "Caenorhabditis elegans" "F14E5.3" "WBGene00008801" "Gene" ""
"WBGene00008008" "MATCH" "1" "C38D4.9" "Caenorhabditis elegans" "C38D4.9" "WBGene00008008" "Gene" ""
"WBGene00021248" "MATCH" "1" "Y22D7AL.10" "Caenorhabditis elegans" "Y22D7AL.10" "WBGene00021248" "Gene" ""
"WBGene00206373" "MATCH" "1" "C27A2.12" "Caenorhabditis elegans" "C27A2.12" "WBGene00206373" "Gene" ""
"WBGene00003397" "MATCH" "1" "mom-5" "Caenorhabditis elegans" "T23D8.1" "WBGene00003397" "Gene" "mom-5 encodes one of four C. elegans members of the Frizzled (Fz) family of seven transmembrane receptors; during development, MOM-5 activity is required for asymmetric cell division in the early embryo and during neuronal development, and for attachment of the pharynx to the buccal cavity; MOM-5 is also required for distal tip cell migration in the gonad and for the engulfment of apoptotic cells, indicating that the Wnt pathway signals to CED-10/Rac to regulate cytoskeletal rearrangement during different cellular processes; MOM-5::GFP is enriched at the posterior pole of cells prior to division and during later stages of embryogenesis, is found at the leading edges of epidermal cells during ventral enclosure; in neuroblasts, MOM-5 is required for proper subcellular distribution of DSH-2 to the cortex."
"WBGene00008041" "MATCH" "1" "ufc-1" "Caenorhabditis elegans" "C40H1.6" "WBGene00008041" "Gene" ""
"WBGene00013166" "MATCH" "1" "Y53F4B.20" "Caenorhabditis elegans" "Y53F4B.20" "WBGene00013166" "Gene" ""
"WBGene00019022" "MATCH" "1" "F58A6.1" "Caenorhabditis elegans" "F58A6.1" "WBGene00019022" "Gene" ""
"WBGene00013043" "MATCH" "1" "arrd-16" "Caenorhabditis elegans" "Y49E10.24" "WBGene00013043" "Gene" ""
"WBGene00013042" "MATCH" "1" "cccp-1" "Caenorhabditis elegans" "Y49E10.23" "WBGene00013042" "Gene" ""
"WBGene00017085" "MATCH" "1" "E01A2.2" "Caenorhabditis elegans" "E01A2.2" "WBGene00017085" "Gene" ""
"WBGene00000792" "MATCH" "1" "crb-1" "Caenorhabditis elegans" "F11C7.4" "WBGene00000792" "Gene" "crb-1 encodes a transmembrane protein with EGF-like and laminin repeats homologous to Drosophila CRUMBS; crb-1 appears to function redundantly with let-413 to effect epithelial polarization; CRB-1 localizes to cell junctions of non-cuticular epithelia, such as the intestine and the pharynx, near the apical plasma membrane."
"WBGene00004236" "MATCH" "1" "ptr-22" "Caenorhabditis elegans" "Y80D3A.7" "WBGene00004236" "Gene" "ptr-22 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-22is weakly required for normal molting from L4 to adult stages; PTR-22 isalso required for normal growth to full size and locomotion."
"WBGene00020486" "MATCH" "1" "T13C5.6" "Caenorhabditis elegans" "T13C5.6" "WBGene00020486" "Gene" ""
"WBGene00004235" "MATCH" "1" "ptr-21" "Caenorhabditis elegans" "Y65B4BR.3" "WBGene00004235" "Gene" "ptr-21 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-21is weakly required for normal molting from L4 to adult stages; PTR-21 isalso required for normal growth to full size and locomotion."
"WBGene00003941" "MATCH" "1" "pbo-1" "Caenorhabditis elegans" "Y71H2AL.1" "WBGene00003941" "Gene" "pbo-1 encodes a calcium binding protein with homology to calcineurin; pbo-1 was identified in screens for mutations that disrupt the normal defecation cycle; a pbo-1 mutation results in weak or absent posterior body contractions, the first step in the defecation cycle; pbo-1 mutant animals are also slow growing and constipated."
"WBGene00006534" "MATCH" "1" "tba-8" "Caenorhabditis elegans" "ZK899.4" "WBGene00006534" "Gene" "tba-8 encodes a member of the alpha tubulin family with high similarity to the human tubulin alpha-6 chain; expressed in some neurons with occasional expression in the hypodermis."
"WBGene00004237" "MATCH" "1" "ptr-23" "Caenorhabditis elegans" "ZK270.1" "WBGene00004237" "Gene" "ptr-23 encodes a nematode-specific member of the sterol sensing domain (SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) and human PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-23 is strongly required for normal molting from L4 to adult stages (a role conserved in C. briggsae); PTR_23 also functions in a pathway with the mucin-like protein OSM-8 to regulate the osmotic stress response; PTR-23 activity is additionally required for normal male tail development, vulval morphogenesis, adult alae formation, and (partly) for endocytosis of yolk by oocytes; a PTR-23::GFP reporter fusion protein is expressed in the hypodermis where it localizes to discrete foci."
"WBGene00006535" "MATCH" "1" "tba-9" "Caenorhabditis elegans" "F40F4.5" "WBGene00006535" "Gene" "tba-9 encodes one of nine C. elegans alpha tubulins; by homology, TBA-9 is predicted to be a component of microtubules; as loss of tba-9 function via RNA-mediated interference (RNAi) does not result in any obvious abnormalities, TBA-9 likely functions redundantly with other alpha tubulins as a basic component of cellular architecture that may play additional roles in processes such as cell division, cell movement, and intracellular transport."
"WBGene00004232" "MATCH" "1" "ptr-18" "Caenorhabditis elegans" "Y38F1A.3" "WBGene00004232" "Gene" "ptr-18 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-18is strongly required for normal molting from L3 to adult stage (a roleconserved in C. briggsae); PTR-18 is also required for male taildevelopment and vulval morphogenesis, and (partly) for endocytosis ofyolk by oocytes."
"WBGene00006532" "MATCH" "1" "tba-6" "Caenorhabditis elegans" "F32H2.9" "WBGene00006532" "Gene" "tba-6 encodes an alpha-tubulin; tba-6 transcripts are enriched in ciliated neurons, suggesting that TBA-6 is a likely structural component of cilia."
"WBGene00002054" "MATCH" "1" "ifb-2" "Caenorhabditis elegans" "F10C1.7" "WBGene00002054" "Gene" "ifb-2 encodes an intermediate filament protein; IFB-2 is expressed exclusively in the intestine and functions as a structural component of the intestinal terminal web; within the terminal web, IFB-2 localizes to a discrete substructure known as the endotube."
"WBGene00004231" "MATCH" "1" "ptr-17" "Caenorhabditis elegans" "Y18D10A.7" "WBGene00004231" "Gene" "ptr-17 encodes a divergent ortholog of Drosophila and human PTCHD3,which defines one of seven paralogous families of sterol sensing domain(SSD) proteins; PTR-17 is required for normal adult alae formation."
"WBGene00006533" "MATCH" "1" "tba-7" "Caenorhabditis elegans" "T28D6.2" "WBGene00006533" "Gene" ""
"WBGene00007984" "MATCH" "1" "irx-1" "Caenorhabditis elegans" "C36F7.1" "WBGene00007984" "Gene" "irx-1 encodes a homeodomain-containing protein that is most similar to members of the Iroquois subclass of TALE (three amino acid loop extension) superclass atypical homeodomain proteins; IRX-1 functions downstream of the UNC-55 nuclear receptor in a transcriptional regulatory network that controls remodeling of the GABAergic DD neuron synapses during larval development."
"WBGene00002055" "MATCH" "1" "ifc-1" "Caenorhabditis elegans" "F37B4.2" "WBGene00002055" "Gene" "ifc-1 encodes a nonessential intermediate filament protein; IFC-1 is predicted to function as a structural component of the cytoskeleton; IFC-1 has no function in RNAi assays."
"WBGene00004234" "MATCH" "1" "ptr-20" "Caenorhabditis elegans" "Y53F4B.28" "WBGene00004234" "Gene" "ptr-20 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-20is weakly required for normal molting from L3 to adult stages male taildevelopment; PTR-20 is also required for normal adult alae formation,growth to full size, and locomotion."
"WBGene00006530" "MATCH" "1" "tba-4" "Caenorhabditis elegans" "F44F4.11" "WBGene00006530" "Gene" "tba-4 encodes a member of the alpha tubulin family that also includes tba-1, tba-2, and tba-3, and affects embryonic viability."
"WBGene00006531" "MATCH" "1" "tba-5" "Caenorhabditis elegans" "F16D3.1" "WBGene00006531" "Gene" "tba-5 encodes one of nine C. elegans alpha tubulins; by homology, TBA-5 is predicted to be a component of microtubules; as loss of tba-5 function via RNA-mediated interference (RNAi) does not result in any obvious abnormalities, TBA-5 likely functions redundantly with other alpha tubulins as a basic component of cellular architecture that may play additional roles in processes such as cell division, cell movement, and intracellular transport."
"WBGene00006771" "MATCH" "1" "tln-1" "Caenorhabditis elegans" "Y71G12B.11" "WBGene00006771" "Gene" ""
"WBGene00007980" "MATCH" "1" "C36E8.1" "Caenorhabditis elegans" "C36E8.1" "WBGene00007980" "Gene" ""
"WBGene00013720" "MATCH" "1" "Y106G6H.8" "Caenorhabditis elegans" "Y106G6H.8" "WBGene00013720" "Gene" ""
"WBGene00044326" "MATCH" "1" "tag-322" "Caenorhabditis elegans" "C33H5.10" "WBGene00044326" "Gene" ""
"WBGene00014022" "MATCH" "1" "ZK637.2" "Caenorhabditis elegans" "ZK637.2" "WBGene00014022" "Gene" ""
"WBGene00004229" "MATCH" "1" "ptr-15" "Caenorhabditis elegans" "T07H8.6" "WBGene00004229" "Gene" "ptr-15 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-15has no known function in vivo."
"WBGene00006529" "MATCH" "1" "tba-2" "Caenorhabditis elegans" "C47B2.3" "WBGene00006529" "Gene" "tba-2 encodes an alpha-tubulin."
"WBGene00004228" "MATCH" "1" "ptr-14" "Caenorhabditis elegans" "R09H10.4" "WBGene00004228" "Gene" "ptr-14 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-14is weakly required for normal molting from L4 to adult stages; PTR-14 isalso required for normal growth to full size and locomotion."
"WBGene00018061" "MATCH" "1" "arrd-19" "Caenorhabditis elegans" "F35F10.12" "WBGene00018061" "Gene" ""
"WBGene00021464" "MATCH" "1" "ugt-31" "Caenorhabditis elegans" "Y39G10AR.6" "WBGene00021464" "Gene" ""
"WBGene00004225" "MATCH" "1" "ptr-11" "Caenorhabditis elegans" "F56C11.2" "WBGene00004225" "Gene" "ptr-11 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-11is required for normal growth to full size, locomotion, and vulvalmorphogenesis."
"WBGene00007857" "MATCH" "1" "C31H5.6" "Caenorhabditis elegans" "C31H5.6" "WBGene00007857" "Gene" ""
"WBGene00004224" "MATCH" "1" "ptr-10" "Caenorhabditis elegans" "F55F8.1" "WBGene00004224" "Gene" "ptr-10 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins; PTR-10 is weakly required for normal molting from L4 to adultstages; however, PTR-10 in conjunction with PTR-1 and PTR-6 is stronglyrequired for both molting and viability, with triple ptr-1/-6/-10 RNAianimals showing pronounced molting defects and lethality."
"WBGene00004227" "MATCH" "1" "ptr-13" "Caenorhabditis elegans" "K07C10.1" "WBGene00004227" "Gene" "ptr-13 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-13is weakly required for normal molting from L4 to adult stages; PTR-13 isalso required for normal growth to full size and locomotion."
"WBGene00018060" "MATCH" "1" "arrd-18" "Caenorhabditis elegans" "F35F10.11" "WBGene00018060" "Gene" ""
"WBGene00020258" "MATCH" "1" "T05E7.1" "Caenorhabditis elegans" "T05E7.1" "WBGene00020258" "Gene" ""
"WBGene00007776" "MATCH" "1" "dmd-4" "Caenorhabditis elegans" "C27C12.6" "WBGene00007776" "Gene" ""
"WBGene00004023" "MATCH" "1" "pho-4" "Caenorhabditis elegans" "T16D1.2" "WBGene00004023" "Gene" ""
"WBGene00004024" "MATCH" "1" "php-3" "Caenorhabditis elegans" "Y75B8A.1" "WBGene00004024" "Gene" ""
"WBGene00008980" "MATCH" "1" "emre-1" "Caenorhabditis elegans" "F20D1.10" "WBGene00008980" "Gene" ""
"WBGene00004020" "MATCH" "1" "pho-1" "Caenorhabditis elegans" "EGAP2.3" "WBGene00004020" "Gene" "pho-1 encodes the major C. elegans intestinal acid phosphatase; PHO-1 may function redundantly with other acid phosphatases; PHO-1 intestinal expression appears to be positively regulated by CKI-1, a cyclin-dependent kinase inhibitor, and negatively regulated by POP-1, a TCF/LEF transcription factor; PHO-1 is expressed along the intestinal brush border in all gut cells except the most anterior int-1 and int-2 cells, beginning at the three-fold stage of embryogenesis."
"WBGene00012448" "MATCH" "1" "cyp-33D3" "Caenorhabditis elegans" "Y17D7A.4" "WBGene00012448" "Gene" ""
"WBGene00018547" "MATCH" "1" "clec-78" "Caenorhabditis elegans" "F47C12.2" "WBGene00018547" "Gene" ""
"WBGene00015161" "MATCH" "1" "pho-5" "Caenorhabditis elegans" "B0361.7" "WBGene00015161" "Gene" ""
"WBGene00020989" "MATCH" "1" "W03D8.8" "Caenorhabditis elegans" "W03D8.8" "WBGene00020989" "Gene" ""
"WBGene00012692" "MATCH" "1" "Y39B6A.33" "Caenorhabditis elegans" "Y39B6A.33" "WBGene00012692" "Gene" "Y39B6A.33 encodes the C. elegans ortholog of mammalian GLTSCR2/PICT1 (GLioma Tumor Suppressor Candidate Region gene 2/Protein Interacting with the C Terminus-1); loss of Y39B6A.33 activity via RNAi results in lower oxygen consumption rates, suggesting that Y39B6A.33 plays a role in positively regulating mitochondrial respiration rates; in body wall muscle cells, Y39B6A.33 localizes to the nucleolus."
"WBGene00009286" "MATCH" "1" "zipt-1" "Caenorhabditis elegans" "F31C3.4" "WBGene00009286" "Gene" ""
"WBGene00003964" "MATCH" "1" "pdi-3" "Caenorhabditis elegans" "H06O01.1" "WBGene00003964" "Gene" "pdi-3 encodes a protein disulfide isomerase (PDI) required for normal cuticle collagen deposition and, subliminally, for maintenance of normal body shape; PDI-3 has both PDI and calcium-dependent transglutaminase activity in vitro, crosslinking proteins through a gamma-glutamyl epsilon-lysine dual residue; PDI-3 is homologous to the human PDI ERp60, as well as a homolog in the dog heartworm Dirofilaria immitis that is required for larval molting; the joint PDI/transglutaminase activity of PDI-3 is biochemically conserved in nematodes and mammals; pdi-3 is constitutively and broadly expressed, particularly in gut and hypodermis."
"WBGene00022363" "MATCH" "1" "Y92H12BL.1" "Caenorhabditis elegans" "Y92H12BL.1" "WBGene00022363" "Gene" ""
"WBGene00011803" "MATCH" "1" "T16G12.1" "Caenorhabditis elegans" "T16G12.1" "WBGene00011803" "Gene" ""
"WBGene00008852" "MATCH" "1" "ubql-1" "Caenorhabditis elegans" "F15C11.2" "WBGene00008852" "Gene" ""
"WBGene00007520" "MATCH" "1" "C11E4.6" "Caenorhabditis elegans" "C11E4.6" "WBGene00007520" "Gene" ""
"WBGene00011000" "MATCH" "1" "R03G8.6" "Caenorhabditis elegans" "R03G8.6" "WBGene00011000" "Gene" ""
"WBGene00013668" "MATCH" "1" "Y105E8A.3" "Caenorhabditis elegans" "Y105E8A.3" "WBGene00013668" "Gene" "Y105E8A.3 encodes a protein with similarity to members of the SLC30A family of zinc transporters; a deletion mutation, tm3941, that affects Y105E8A.2 and  Y105E8A.3 has been reported to result in a lethal or sterile phenotype by the National Bioresource Project of Japan; the product of Y105E8A.3 localizes to the endoplasmic reticulum in body wall muscle; about 50% of Y105E8A.3 transcripts are RNA edited to change A to G resulting in a synonymous change to residue 319 from an G to a G."
"WBGene00019404" "MATCH" "1" "K05B2.4" "Caenorhabditis elegans" "K05B2.4" "WBGene00019404" "Gene" ""
"WBGene00004803" "MATCH" "1" "sir-2.4" "Caenorhabditis elegans" "C06A5.11" "WBGene00004803" "Gene" ""
"WBGene00022253" "MATCH" "1" "hrpf-2" "Caenorhabditis elegans" "Y73B6BL.33" "WBGene00022253" "Gene" ""
"WBGene00007554" "MATCH" "1" "pptr-2" "Caenorhabditis elegans" "C13G3.3" "WBGene00007554" "Gene" ""
"WBGene00015019" "MATCH" "1" "B0205.4" "Caenorhabditis elegans" "B0205.4" "WBGene00015019" "Gene" "The B0205.4 gene encodes a homolog of the human gene FUT1, which when mutated leads to leukocyte adhesion deficiency, type II (OMIM:266265)."
"WBGene00011573" "MATCH" "1" "anmt-3" "Caenorhabditis elegans" "T07C12.9" "WBGene00011573" "Gene" ""
"WBGene00018897" "MATCH" "1" "zipt-2.4" "Caenorhabditis elegans" "F55F8.9" "WBGene00018897" "Gene" ""
"WBGene00018771" "MATCH" "1" "duox-2" "Caenorhabditis elegans" "F53G12.3" "WBGene00018771" "Gene" "duox-2 encodes a large partial homolog of dual oxidase, with an N-terminal peroxidase domain, two central calmodulin-binding EF hands, and a C-terminal superoxide-generating NADPH-oxidase domain; duox-2 may be required for dityrosine cross-linking of collagen, and thus for cuticular integrity; duox-2 may use cytosolic NADPH to generate reactive oxygen, which then may drive the peroxidase ectodomain to cross-link free tyrosine in collagen; DUOX-2 has no visible expression pattern detectable by antibodies, implying very low or rare expression."
"WBGene00009146" "MATCH" "1" "F26C11.1" "Caenorhabditis elegans" "F26C11.1" "WBGene00009146" "Gene" ""
"WBGene00001683" "MATCH" "1" "gpd-1" "Caenorhabditis elegans" "T09F3.3" "WBGene00001683" "Gene" "gpd-1 encodes one of four C. elegans glyceraldehyde-3-phosphate dehydrogenases (GAPDHs); by homology, GPD-1 is predicted to reversibly catalyze the oxidation and phosphorylation of glyceraldehyde-3-phosphate to 1,3-diphosphoglycerate during glycolysis; GPD-1 is required for embryogenesis, normal body morphology, and gonad development; in C. elegans, GPD-1 and GPD-4 constitute the minor GAPDH isoenzymes and are expressed primarily in embryos, in all cell types."
"WBGene00004038" "MATCH" "1" "plc-3" "Caenorhabditis elegans" "T01E8.3" "WBGene00004038" "Gene" "plc-3 encodes a phospholipase C gamma homolog; PLC-3 activity is required for regulation of a number of biological processes, including ovulatory sheath contractions, nose touch, behavioral quiescence, oscillatory Ca2+ signaling in the intestine, innate immunity, and response to wounding; plc-3 reporter fusions are expressed in sheath cells and the spermatheca, the intestine, embryonic cells including the epidermal cells during morphogenesis, and the ALA neuron."
"WBGene00001684" "MATCH" "1" "gpd-2" "Caenorhabditis elegans" "K10B3.8" "WBGene00001684" "Gene" "gpd-2 encodes one of four C. elegans glyceraldehyde-3-phosphate dehydrogenases (GAPDHs); by homology, GPD-2 is predicted to reversibly catalyze the oxidation and phosphorylation of glyceraldehyde-3-phosphate to 1,3-diphosphoglycerate during glycolysis; in C. elegans, GPD-2 and GPD-3 constitute the major GAPDH isoenzymes and are expressed at highest levels during postembryonic development, primarily in the actin-containing A and I zones of body-wall muscle; loss of gpd-2 function via RNA-mediated interference (RNAi) does not result in any abnormalities."
"WBGene00001685" "MATCH" "1" "gpd-3" "Caenorhabditis elegans" "K10B3.7" "WBGene00001685" "Gene" "gpd-3 encodes a predicted glyceraldehyde 3-phosphate dehydrogenase that affects embryonic viability; GPD-3 interacts with LIN-2 in two-hybrid assays."
"WBGene00001202" "MATCH" "1" "egl-36" "Caenorhabditis elegans" "R07A4.1" "WBGene00001202" "Gene" "egl-36 encodes a Shaw-type voltage-gated potassium channel that regulates egg laying and defecation; expression of egl-36::gfp reporters is observed in several different cell types including muscle cells such as the uterine and vulval egg-laying muscles, sensory, motor and interneurons, and the distal tip cells of the gonad; when expressed in a heterologous system, EGL-36 exhibits channel activity."
"WBGene00001686" "MATCH" "1" "gpd-4" "Caenorhabditis elegans" "F33H1.2" "WBGene00001686" "Gene" "gpd-4 encodes one of four C. elegans glyceraldehyde-3-phosphate dehydrogenases (GAPDHs); by homology, GPD-4 is predicted to reversibly catalyze the oxidation and phosphorylation of glyceraldehyde-3-phosphate to 1,3-diphosphoglycerate during glycolysis; GPD-4 is required for embryonic and larval development; in C. elegans, GPD-4 and GPD-1 constitute the minor GAPDH isoenzymes and are expressed primarily in embryos, in all cell types."
"WBGene00004039" "MATCH" "1" "plc-4" "Caenorhabditis elegans" "R05G6.8" "WBGene00004039" "Gene" "plc-4 encodes a phospholipase C delta homolog."
"WBGene00006697" "MATCH" "1" "uaf-1" "Caenorhabditis elegans" "Y92C3B.2" "WBGene00006697" "Gene" "uaf-1 encodes the large subunit of splicing factor U2AF (U2 Auxiliary Factor), orthologous to mammalian and Drosophila U2AF65; UAF-1 has been shown to bind RNA and this binding is enhanced by UAF-2; the abundance of one alternative transcript appears to be increased during starvation and this transcript is retained in the nucleus; uaf-1 affects embryonic viability, based on RNAi analysis."
"WBGene00000903" "MATCH" "1" "daf-7" "Caenorhabditis elegans" "B0412.2" "WBGene00000903" "Gene" "daf-7 encodes a member of the transforming growth factor beta superfamily; in C. elegans, DAF-7 functions as part of a signaling pathway that interprets environmental conditions to regulate energy-balance pathways that affect dauer larval formation, adult lifespan, fat metabolism, egg laying, pathogen avoidance behavior, and feeding behavior; daf-7 reporter gene fusions are expressed in the ASI, ADE, and OLQ neurons, and daf-7 expression is induced in both ASI and ASJ chemosensory neurons in response to the pathogenic bacterial strain Pseudomonas aeruginosa PA14."
"WBGene00020612" "MATCH" "1" "arrd-22" "Caenorhabditis elegans" "T20D4.6" "WBGene00020612" "Gene" ""
"WBGene00001438" "MATCH" "1" "fkh-6" "Caenorhabditis elegans" "B0286.5" "WBGene00001438" "Gene" "fkh-6 encodes one of 15 C. elegans forkhead transcription factors; fkh-6 is required for several aspects of male gonadogenesis including asymmetric cell division, cell migration and sex determination and appears to act downstream of tra-1; FKH-6 is specifically expressed in the gonad of both sexes during L1; expression is hermaphrodite specific during L4 and adult stages in spermatheca and sheath cells."
"WBGene00000902" "MATCH" "1" "daf-6" "Caenorhabditis elegans" "F31F6.5" "WBGene00000902" "Gene" "daf-6 encodes a Patched-related protein; daf-6 is required for amphid channel morphogenesis and thus, also for normal morphology of the outer labial sensilla; specifically, daf-6 is required for restricting the amphid sensory compartment diameter; daf-6 mutants display defects in several neuron-mediated functions including dauer larvae formation, chemotaxis, osmotic avoidance, male mating, negative regulation of lifespan, negative regulation of the neuron ASJ's axonal growth late in development, and dye uptake by amphids and phasmids; a DAF-6::GFP is expressed in the amphid sheath and socket cells and in the excretory canal."
"WBGene00004706" "MATCH" "1" "rsr-1" "Caenorhabditis elegans" "F28D9.1" "WBGene00004706" "Gene" "rsr-1 encodes the C. elegans homolog of the SRm160 (serine/arginine-repeat related nuclear matrix protein of 160kDa) splicing coactivator; rsr-1 is an essential gene that is required for development, including normal pharyngeal morphology."
"WBGene00018661" "MATCH" "1" "F52C6.4" "Caenorhabditis elegans" "F52C6.4" "WBGene00018661" "Gene" ""
"WBGene00007455" "MATCH" "1" "ugt-22" "Caenorhabditis elegans" "C08F11.8" "WBGene00007455" "Gene" ""
"WBGene00008664" "MATCH" "1" "nubp-1" "Caenorhabditis elegans" "F10G8.6" "WBGene00008664" "Gene" "nubp-1 encodes a nucleotide binding protein that is a member of the NUBP1/NBP35 subclass of MRP/MinD-type P-loop NTPases; NUBP-1 is homologous to vertebrate NUBP1 and Saccharomyces cerevisiae NBP35; in C. elegans, nubp-1 is required for proper cilium formation and also for normally rapid growth and maintenance of the germline; nubp-1 is expressed in ciliated amphid and labial neurons in the head and phasmid neurons in the tail."
"WBGene00006364" "MATCH" "1" "syd-2" "Caenorhabditis elegans" "F59F5.6" "WBGene00006364" "Gene" "syd-2 encodes alpha-liprin, a member of the liprin family of proteins that interact with LAR (leukocyte common antigen related)-type receptor tyrosine phosphatases (RPTPs) to facilitate clustering of RPTPs to focal adhesions; SYD-2 is required for establishing normal presynaptic density, and is expressed in all neurons and muscles; SYD-2 is required cell autonomously in neurons for differentiation of presynaptic active zones, where SYD-2 is localized; the SYD-2 liprin homology domain 1 (LH1) self-associates in vitro, suggesting that SYD-2 self-assembly contributes to its role in presynaptic assembly in vivo."
"WBGene00007331" "MATCH" "1" "pho-11" "Caenorhabditis elegans" "C05C10.4" "WBGene00007331" "Gene" ""
"WBGene00012806" "MATCH" "1" "Y43F4B.9" "Caenorhabditis elegans" "Y43F4B.9" "WBGene00012806" "Gene" ""
"WBGene00006481" "MATCH" "1" "plrg-1" "Caenorhabditis elegans" "D1054.15" "WBGene00006481" "Gene" ""
"WBGene00016606" "MATCH" "1" "exoc-7" "Caenorhabditis elegans" "C43E11.8" "WBGene00016606" "Gene" ""
"WBGene00017936" "MATCH" "1" "zipt-2.2" "Caenorhabditis elegans" "F30B5.7" "WBGene00017936" "Gene" ""
"WBGene00015752" "MATCH" "1" "C14B9.2" "Caenorhabditis elegans" "C14B9.2" "WBGene00015752" "Gene" "C14B9.2 encodes a protein disulfide isomerase; by homology, the product of C14B9.2 is predicted to function in oxidative protein folding in the endoplasmic reticulum (ER); C14B9.2 transcript levels are increased in response to ER stress."
"WBGene00012370" "MATCH" "1" "W09G3.7" "Caenorhabditis elegans" "W09G3.7" "WBGene00012370" "Gene" ""
"WBGene00018357" "MATCH" "1" "moc-3" "Caenorhabditis elegans" "F42G8.6" "WBGene00018357" "Gene" ""
"WBGene00022166" "MATCH" "1" "Y71H2AM.1" "Caenorhabditis elegans" "Y71H2AM.1" "WBGene00022166" "Gene" ""
